DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Diet Barchart
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
Haliaeetus_leucocephalus	0.0	0.0	0.0	0.0	20.0	0.0	20.0	30.0	30.0	0.0
Helogale_parvula	10.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
Hyaena_hyaena	10.0	10.0	0.0	0.0	70.0	0.0	0.0	10.0	0.0	0.0
Hypogeomys_antimena	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lemur_catta	80.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
Loxodonta_africana	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Mandrillus_leucophaeus	40.0	10.0	0.0	10.0	0.0	30.0	0.0	0.0	0.0	10.0
Melursus_ursinus	10.0	70.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
Mungos_mungo	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
Myrmecophaga_tridactyla	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Necrosyrtes_monachus	0.0	20.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0
Nyctereutes_procyonoides	30.0	20.0	0.0	0.0	0.0	10.0	30.0	10.0	0.0	0.0
Parabuteo_unicinctus	0.0	0.0	0.0	0.0	0.0	0.0	10.0	90.0	0.0	0.0
Parahyaena_brunnea	10.0	10.0	0.0	0.0	70.0	0.0	0.0	10.0	0.0	0.0
Pteromys_volans	30.0	10.0	0.0	30.0	0.0	30.0	0.0	0.0	0.0	0.0
Rhea_americana	20.0	20.0	0.0	20.0	0.0	20.0	10.0	10.0	0.0	0.0
Rhyticeros_undulatus	90.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sarcoramphus_papa	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
Struthio_camelus	0.0	10.0	0.0	50.0	0.0	30.0	0.0	0.0	0.0	10.0
Suricata_suricatta	0.0	70.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0
Tamandua_tetradactyla	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tolypeutes_matacus	20.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Torgos_tracheliotos	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	10.0
Trichechus_manatus_latirostris	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
